seed,task,method,method_label,best_train_loss,best_test_loss,best_train_score,best_test_score,score_metric,convergence_epoch,epochs_completed,diverged
0,CIFAR-10,bp,BP,0.03822878801822662,0.06190614756345749,0.80375,0.5583,Accuracy,35,80,False
0,CIFAR-10,np,IS NP,0.07881063848733902,0.07879805272817611,0.3515,0.3598,Accuracy,46,80,False
0,CIFAR-10,np_fixed,Vanilla NP,0.08108180969953536,0.08102157689332962,0.3335,0.3404,Accuracy,45,80,False
0,CIFAR-10,np_fan_in,Fan-in NP,0.07980625754594803,0.07984848673343659,0.347,0.351,Accuracy,45,80,False
0,CIFAR-10,wp,WP,0.08315638023614884,0.08322478578090668,0.31,0.3058,Accuracy,38,80,False
1,CIFAR-10,bp,BP,0.039122827708721164,0.06172368949651718,0.79725,0.5623,Accuracy,35,80,False
1,CIFAR-10,np,IS NP,0.0786198103427887,0.0787116195678711,0.36275,0.364,Accuracy,45,80,False
1,CIFAR-10,np_fixed,Vanilla NP,0.08128145521879196,0.08119628713130951,0.3325,0.3383,Accuracy,43,80,False
1,CIFAR-10,np_fan_in,Fan-in NP,0.07976689147949219,0.07985800987482071,0.35675,0.3564,Accuracy,46,80,False
1,CIFAR-10,wp,WP,0.08392224049568177,0.08399923318624497,0.2875,0.2904,Accuracy,23,80,False
2,CIFAR-10,bp,BP,0.03869029477238655,0.06183649802207947,0.804,0.554,Accuracy,34,80,False
2,CIFAR-10,np,IS NP,0.07894212144613266,0.07895781013965607,0.35225,0.3649,Accuracy,43,80,False
2,CIFAR-10,np_fixed,Vanilla NP,0.08117049032449722,0.0811230496764183,0.33625,0.337,Accuracy,45,80,False
2,CIFAR-10,np_fan_in,Fan-in NP,0.07977317041158676,0.07987331992387772,0.34925,0.3546,Accuracy,47,80,False
2,CIFAR-10,wp,WP,0.08447089302539826,0.08415670417547226,0.28125,0.2948,Accuracy,26,80,False
3,CIFAR-10,bp,BP,0.03812086045742035,0.061856700253486635,0.807,0.5587,Accuracy,36,80,False
3,CIFAR-10,np,IS NP,0.07850154256820678,0.07860956777334213,0.3575,0.3628,Accuracy,50,80,False
3,CIFAR-10,np_fixed,Vanilla NP,0.08112361365556717,0.08104468301534652,0.33375,0.3349,Accuracy,45,80,False
3,CIFAR-10,np_fan_in,Fan-in NP,0.07979603677988052,0.07995716564655304,0.349,0.3538,Accuracy,43,80,False
3,CIFAR-10,wp,WP,0.08367559856176376,0.08355053461790085,0.294,0.2983,Accuracy,29,80,False
4,CIFAR-10,bp,BP,0.03829128476977348,0.06191610993742943,0.81125,0.5567,Accuracy,35,80,False
4,CIFAR-10,np,IS NP,0.07891993260383606,0.07878721050024033,0.355,0.3588,Accuracy,51,80,False
4,CIFAR-10,np_fixed,Vanilla NP,0.08136298131942749,0.08138598071336746,0.32425,0.3322,Accuracy,49,80,False
4,CIFAR-10,np_fan_in,Fan-in NP,0.07983572113513947,0.07985527281761169,0.348,0.3543,Accuracy,50,80,False
4,CIFAR-10,wp,WP,0.08412431168556213,0.0839838220357895,0.29775,0.2907,Accuracy,29,80,False
